Species	Index	State	Epoch	Age.min	Age.max
Lates bispinosus	L001	Turkey	Oligocene	23.03	33.9
Lates karungae	L002	Kenya	Lower Miocene	15.98	23.03
L. partshii	L003	Austria	Middle Miocene	11.63	15.98
L. gregarius	L004	Moldavia	Upper MIocene	5.33	11.63
L. croaticus	L005	Croatia	Middle Miocene	11.63	15.98
L. macropterus	L006	Italy	Oligocene	23.03	33.9
E. gracilis	L007	Monte Bolca	Lower Eocene	47.8	56
E. aquensis	L008	Provence	Lower Eocene	47.8	56
E. macrurus	L009	Paris Basin	Oligocene	23.03	33.9
Lates sp (Lates cf niloticus)	L010	Saudi Arabia	Lower Miocene	15.98	23.03
Lates sp (Lates cf niloticus)	L011	Egypt, Tubisi	Upper Miocene	5.33	11.63
